g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,variant consequence,variant types,molecular mechanism,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,panel,comments,date of last review
G2P01349,ACAT1,607809,93,ACAT; THIL,ACAT1-related alpha-methylacetoacetic aciduria,203750,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001944; HP:0000007; HP:0001249; HP:0005974; HP:0002013,7907600; 1979337; 1627655; 1346617; 4690360; 1715688; 11914035; 9700610,DD,,2015-07-22 16:15:23+00:00
G2P01350,TSHB,188540,12372,,"TSHB-related hypothryoidism, congenital, nongoitrous",275100,MONDO:0010139,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0005280; HP:0000851; HP:0001252; HP:0006887; HP:0001539; HP:0000007; HP:0001537; HP:0000260; HP:0000158; HP:0001615; HP:0008850; HP:0001939,2792087,DD,,2015-07-22 16:15:23+00:00
G2P01351,COX15,603646,2263,CEMCOX2,COX15-related Leigh syndrome,615119,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002171; HP:0002747; HP:0003688; HP:0003812; HP:0003128; HP:0002151; HP:0000712; HP:0001404; HP:0000007; HP:0000508; HP:0001257; HP:0000639; HP:0007305; HP:0000998; HP:0001263; HP:0003355; HP:0001425; HP:0000124; HP:0003109; HP:0001249; HP:0002093; HP:0000602; HP:0001270; HP:0000580; HP:0002240; HP:0002875; HP:0003076; HP:0001251; HP:0001508; HP:0001639; HP:0003593; HP:0001250; HP:0000093; HP:0003546; HP:0006565; HP:0003676; HP:0001410; HP:0001994; HP:0002490; HP:0001332; HP:0001260; HP:0001347; HP:0001252; HP:0012240; HP:0001427; HP:0002880; HP:0000407; HP:0000648; HP:0001903; HP:0002793,,DD,,2025-01-21 12:55:08+00:00
G2P01352,KDM5A,180202,9886,JARID1A; RBBP2,KDM5A-related intellectual developmental disorder,,,biallelic_autosomal,,limited,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,21937992,DD,,2015-07-22 16:15:23+00:00
G2P01353,PDE6H,601190,8790,,PDE6H-related achromatopsia,,MONDO:0018852,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,27472364; 22901948,DD; Eye,,2018-01-22 16:07:28+00:00
G2P01354,DIS3L2,614184,28648,FAM6A; FLJ36974; MGC42174,DIS3L2-related Perlman syndrome,267000,MONDO:0009965,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0004510; HP:0001999; HP:0000776; HP:0000007; HP:0003271; HP:0001263; HP:0000969; HP:0008696; HP:0008643; HP:0001561; HP:0002667; HP:0002580; HP:0000431; HP:0011611; HP:0005280; HP:0000369; HP:0000194; HP:0000347; HP:0001274; HP:0000028; HP:0001541; HP:0010804; HP:0011341; HP:0005247; HP:0001520,6093533; 10508986; 22306653,DD,,2015-07-22 16:15:23+00:00
G2P01355,GTF2H5,608780,21157,BA120J8.2; C6ORF175; FLJ30544; TFB5; TFIIH; TTD; TTD-A; TTDA,GTF2H5-related trichothiodystrophy photosensitive,616395,MONDO:0014619,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0004315; HP:0000007; HP:0001249; HP:0001371; HP:0002299; HP:0005214; HP:0002099; HP:0007519; HP:0000992; HP:0004322; HP:0000252; HP:0001019; HP:0000518; HP:0001808; HP:0002719; HP:0007479; HP:0001518; HP:0000271; HP:0000135; HP:0000765,,DD,,2015-07-22 16:15:23+00:00
G2P01356,COL9A2,120260,2218,EDM2; MED,COL9A2-related multiple epiphyseal dysplasia,600204,MONDO:0010844,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,HP:0003502; HP:0002656; HP:0005086; HP:0004279; HP:0002515; HP:0002970; HP:0003071; HP:0000006; HP:0010582,10364514; 8528240; 12244547,DD; Skeletal,,2023-05-24 09:07:31+00:00
G2P01357,HYAL1,607071,5320,HYAL-1; LUCA1,HYAL1-related mucopolysaccharidosis,601492,MONDO:0011093,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0004322; HP:0005280; HP:0000007; HP:0012069; HP:0000176; HP:0000403; HP:0003170; HP:0000193; HP:0002159; HP:0000951,8793927,DD; Skeletal,,2023-05-24 09:07:31+00:00
G2P01358,HCFC1,300019,4839,CFF; HCF-1; HCF1; HFC1; MGC70925; MRX3; PPP1R89; VCAF,HCFC1-related intellectual developmental disorder,309541,,monoallelic_X_hemizygous,,definitive,,3_prime_UTR_variant; 5_prime_UTR_variant,undetermined,inferred,,HP:0004322; HP:0001249; HP:0000248; HP:0001419; HP:0001417,23000143; 1870093,DD,,2015-07-22 16:15:23+00:00
G2P01359,IHH,600726,5956,BDA1; HHG2,IHH-related acrocapitofemoral dysplasia,607778,MONDO:0011907,biallelic_autosomal,,definitive,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0004482; HP:0000773; HP:0000007; HP:0003099; HP:0003097; HP:0000768; HP:0002650; HP:0002970; HP:0005792; HP:0001821; HP:0003022; HP:0005736; HP:0010575; HP:0002869; HP:0002866; HP:0010241; HP:0000887; HP:0009882; HP:0004279; HP:0010049; HP:0008873; HP:0006438; HP:0002938; HP:0002983; HP:0000774; HP:0008789; HP:0002812; HP:0000767; HP:0010017; HP:0002984; HP:0100864; HP:0003498; HP:0001216; HP:0003300,12632327,DD; Skeletal,,2023-05-24 09:07:31+00:00
G2P01360,NKX2-5,600584,2488,CSX; CSX1; NKX2.5; NKX2E; NKX4-1,NKX2-5-related congenital hypothyroidism non-goitrous,225250,MONDO:0009154,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,HP:0001510; HP:0100028; HP:0005990; HP:0006887; HP:0000006; HP:0001939; HP:0000821,16418214,DD,,2015-07-22 16:15:23+00:00
G2P01361,RNF168,612688,26661,FLJ35794,RNF168-related RIDDLE syndrome,611943,MONDO:0012764,biallelic_autosomal,,limited,absent gene product,,loss of function,inferred,,HP:0004315; HP:0004322; HP:0011133; HP:0011342; HP:0001999; HP:0000007; HP:0002721,,DD,,2015-07-22 16:15:23+00:00
G2P01362,CEP83,615847,17966,CCDC41,CEP83-related infantile nephronophthisis and intellectual disability,615862,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,24882706,DD,,2025-01-14 17:09:46+00:00
G2P01363,CHD8,610528,20153,DUPLIN; HELSNF1; KIAA1564,CHD8-related autism,209850,,monoallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0001426; HP:0000732; HP:0003745; HP:0000758; HP:0001250; HP:0003144; HP:0000728; HP:0001249; HP:0000733; HP:0002353; HP:0000717; HP:0000750; HP:0000723; HP:0000721; HP:0011463,23160955,DD,,2025-01-27 13:42:37+00:00
G2P01364,CYP1B1,601771,2597,CP1B; GLC3A,"CYP1B1-related primary congenital glaucoma, type 3A",231300,MONDO:0009277,biallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,HP:0007906; HP:0008041; HP:0008007; HP:0001425; HP:0000557; HP:0000007,19643970; 9097971; 12372064; 9497261; 9463332; 15342693; 19807744; 10227395; 27777502,DD; Eye,,2025-01-28 09:21:24+00:00
G2P01365,SF3B4,605593,10771,HSH49; SAP49; SF3B49,"SF3B4-related acrofacial dysostosis, Nager type",154400,MONDO:0007943,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000122; HP:0003319; HP:0009601; HP:0001822; HP:0009777; HP:0001622; HP:0000494; HP:0002410; HP:0001199; HP:0006657; HP:0001831; HP:0000006; HP:0002827; HP:0001762; HP:0010055; HP:0001025; HP:0000384; HP:0000175; HP:0003974; HP:0001377; HP:0002650; HP:0000211; HP:0004322; HP:0000426; HP:0001636; HP:0002251; HP:0000369; HP:0000252; HP:0008749; HP:0002126; HP:0002974; HP:0000347; HP:0000204; HP:0001845; HP:0000154; HP:0000413; HP:0000813; HP:0000272; HP:0000405; HP:0000220; HP:0001543; HP:0007776; HP:0001770; HP:0005349; HP:0009466; HP:0000238; HP:0000750; HP:0002984; HP:0001849; HP:0000652; HP:0000358,22541558,DD; Skeletal,,2025-01-28 18:02:35+00:00
G2P01366,HNRNPU,602869,5048,C1ORF199; FLJ30202; FLJ37978; HNRNPU-AS1; HNRPU; NCRNA00201; SAF-A,HNRNPU-related epileptic encephalopathy,617391,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0011343; HP:0001263; HP:0000598; HP:0001250; HP:0002069; HP:0001167; HP:0011297; HP:0000271; HP:0000929; HP:0100022; HP:0002817; HP:0011844; HP:0001155; HP:0000534; HP:0000153,23934111; 35138025; 28393272; 28815871; 28944577; 29858110; 32319732; 33914968; 34012379; 37120726; 37407733; 38171565,DD,,2025-01-16 12:25:18+00:00
G2P01367,ATP8A2,605870,13533,ATPIB; ML-1,"ATP8A2-related cerebellar ataxia, intellectual developmental disorder, and dysequilibrium syndrome",615268,MONDO:0014104,biallelic_autosomal,,limited,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,22892528; 16075202,DD,,2021-07-09 13:11:02+00:00
G2P01368,BTD,609019,1122,,BTD-related biotinidase deficiency,253260,MONDO:0009665,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000509; HP:0002789; HP:0000007; HP:0001596; HP:0001581; HP:0001051; HP:0001263; HP:0002506; HP:0001992; HP:0008872; HP:0001744; HP:0002013; HP:0002240; HP:0000572; HP:0002014; HP:0002104; HP:0001251; HP:0000988; HP:0001250; HP:0001987; HP:0001254; HP:0005979; HP:0001252; HP:0100275; HP:0000407; HP:0000648,8894703; 10801053; 9375914; 7550325; 9099842; 9705240; 9158148,DD; Skin,,2017-09-01 16:19:15+00:00
G2P01369,SYP,313475,11506,MRX96,"SYP-related intellectual developmental disorder, X-linked",300802,MONDO:0010429,monoallelic_X_hemizygous,,definitive,absent gene product,,loss of function,inferred,,HP:0001250; HP:0001423; HP:0001249,19377476,DD,,2025-01-21 15:34:51+00:00
G2P01370,UROC1,613012,26444,FLJ31300; HMFN0320,UROC1-related urocanase deficiency,276880,MONDO:0010167,biallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,HP:0001337; HP:0004322; HP:0001251; HP:0012237; HP:0000635; HP:0006887; HP:0000007; HP:0002286; HP:0010864; HP:0000639; HP:0000718,19304569,DD,,2015-07-22 16:15:24+00:00
G2P01371,IGFBP7,602867,5476,FSTL2; IGFBP-7; MAC25; PSF,IGFBP7-related retinal arterial macroaneurysm with supravalvular pulmonic stenosis,614224,MONDO:0013640,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0001642; HP:0000007; HP:0012231,12441727,DD,,2015-07-22 16:15:24+00:00
G2P01372,IVD,607036,6186,ACAD2; IVDH,IVD-related isovaleric acidemia,243500,MONDO:0009475,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001254; HP:0001944; HP:0001942; HP:0001250; HP:0001259; HP:0005528; HP:0001993; HP:0000007; HP:0002013; HP:0003108; HP:0011695; HP:0001263; HP:0001882; HP:0001876; HP:0001873,2063866; 15486829; 10677295; 1310317,DD,,2015-07-22 16:15:24+00:00
G2P01373,LRIT3,615004,24783,CSNB1F; FIGLER4; FLJ44691,LRIT3-related complete congenital stationary night blindness,615058,MONDO:0014026,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0007642; HP:0000486; HP:0000007; HP:0000545,23246293; 27428514,DD; Eye,,2015-07-22 16:15:24+00:00
G2P01374,SIL1,608005,24624,BAP; MSS; ULG5,SIL1-related Marinesco-Sjoegren syndrome,248800,MONDO:0009567,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0008278; HP:0001763; HP:0003323; HP:0002967; HP:0000007; HP:0001257; HP:0000639; HP:0001263; HP:0002070; HP:0000815; HP:0010743; HP:0003687; HP:0001249; HP:0002650; HP:0001371; HP:0001272; HP:0002066; HP:0004322; HP:0001508; HP:0003236; HP:0003593; HP:0000252; HP:0000486; HP:0002673; HP:0010049; HP:0001260; HP:0003198; HP:0003202; HP:0001252; HP:0002808,16282977; 17026626; 16282978; 18285827; 20111056,DD; Eye,,2015-07-22 16:15:24+00:00
G2P01375,KARS1,601421,6215,DFNB89; KARS; KARS2,KARS1-related deafness,613916,MONDO:0013489,biallelic_autosomal,potential secondary finding,limited,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0000007,23768514,DD; Ear,,2025-04-08 17:21:44+00:00
G2P01376,SOX5,604975,11201,L-SOX5; MGC35153,SOX5-related 12p12.5 intragenic deletions associated with intellectual disability,616803,MONDO:0014778,monoallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0000598; HP:0000252; HP:0001256; HP:0001249; HP:0000159; HP:0000271; HP:0000929; HP:0001263; HP:0000153,22290657; 36861937,DD,,2015-07-22 16:15:24+00:00
G2P01377,ANO5,608662,27337,GDD1; LGMD2L; TMEM16E,ANO5-related gnathodiaphyseal dysplasia,166260,MONDO:0008151,monoallelic_autosomal,potential secondary finding; restricted mutation set,moderate,altered gene product structure,,gain of function,inferred,,HP:0002659; HP:0000938; HP:0006487; HP:0000006; HP:0005045,,DD; Skeletal,,2023-05-24 09:07:31+00:00
G2P01378,PORCN,300651,17652,DHOF; MG61; POR; PORC; PPN,PORCN-related focal dermal hypoplasia,305600,MONDO:0010592,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,HP:0006297; HP:0000689; HP:0001829; HP:0000175; HP:0002036; HP:0001249; HP:0009381; HP:0010740; HP:0002299; HP:0001083; HP:0000684; HP:0001374; HP:0001539; HP:0000126; HP:0001274; HP:0000028; HP:0000085; HP:0000677; HP:0000505; HP:0000648; HP:0001537; HP:0001839; HP:0002566; HP:0002232; HP:0000639; HP:0000307; HP:0000410; HP:0000568; HP:0006608; HP:0000446; HP:0000252; HP:0003298; HP:0000204; HP:0000023; HP:0007546; HP:0004334; HP:0000377; HP:0001540; HP:0010049; HP:0001802; HP:0000668; HP:0000238; HP:0007588; HP:0000455; HP:0001171; HP:0000324; HP:0001388; HP:0000776; HP:0006638; HP:0000528; HP:0002650; HP:0002558; HP:0001545; HP:0000369; HP:0001180; HP:0000066; HP:0000486; HP:0008070; HP:0003191; HP:0000060; HP:0000073; HP:0001423; HP:0002164; HP:0000526; HP:0002308; HP:0010743; HP:0002557; HP:0001817; HP:0004322; HP:0000567; HP:0000612; HP:0000402; HP:0001009; HP:0001162; HP:0009803; HP:0001770; HP:0001600; HP:0001849; HP:0000773,17546030; 18325042; 17546031,DD; Eye; Skeletal,,2023-05-24 09:07:31+00:00
G2P01379,TGFBR2,190182,11773,MFS2; TBR-II; TBRII,TGFBR2-related Loeys-Dietz syndrome,610168,MONDO:0012427,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,,DD; Skin; Skeletal,,2024-11-07 09:27:53+00:00
G2P01380,FKTN,607440,3622,FCMD; LGMD2M,FKTN-related muscular dystrophy-dystroglycanopathy limb-girdle,611588,MONDO:0012699,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003391; HP:0001669; HP:0000007; HP:0001685; HP:0007260; HP:0003712; HP:0002365; HP:0000648; HP:0001762; HP:0001302; HP:0001249; HP:0002650; HP:0003560; HP:0002093; HP:0001321; HP:0001371; HP:0001631; HP:0001270; HP:0000545; HP:0000496; HP:0000568; HP:0002350; HP:0003236; HP:0003593; HP:0001250; HP:0000518; HP:0000541; HP:0008981; HP:0002126; HP:0000486; HP:0002267; HP:0003307; HP:0001274; HP:0003701; HP:0003676; HP:0007973; HP:0000540; HP:0003828; HP:0003741; HP:0001644; HP:0001265; HP:0001284; HP:0003202; HP:0001252; HP:0001360; HP:0000767; HP:0001324; HP:0001642; HP:0003306; HP:0000238; HP:0007348; HP:0002084,19342235; 17044012; 17036286; 12601708; 14627679; 21228398; 19179078; 9690476; 17878207; 10545611,DD,,2015-07-22 16:15:24+00:00
G2P01381,NAA15,608000,30782,FLJ13340; NARG1; NATH; TBDN100,NAA15-related congenital heart disease and neurodevelopmental disorder,,,monoallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0001250; HP:0000750; HP:0001249,23665959; 28191889; 29656860,DD,,2017-06-22 09:01:29+00:00
G2P01383,BBS7,607590,18758,BBS2L1; FLJ10715,BBS7-related Bardet-Biedl syndrome,615984,MONDO:0014435,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002370; HP:0007707; HP:0002167; HP:0001712; HP:0001156; HP:0000007; HP:0000556; HP:0001829; HP:0000365; HP:0000639; HP:0008734; HP:0001263; HP:0000218; HP:0000077; HP:0001773; HP:0000510; HP:0000483; HP:0000054; HP:0001395; HP:0001249; HP:0000819; HP:0000256; HP:0000822; HP:0002141; HP:0000545; HP:0001080; HP:0002099; HP:0000501; HP:0001251; HP:0001513; HP:0002251; HP:0000518; HP:0001007; HP:0000486; HP:0000148; HP:0100851; HP:0000678; HP:0001328; HP:0000668; HP:0000505; HP:0001162; HP:0000135; HP:0009466; HP:0000750; HP:0009806; HP:0001159; HP:0010442; HP:0000137,12567324,DD; Eye,,2025-01-21 22:09:01+00:00
G2P01384,PTH,168450,9606,PTH1,PTH-related familial isolated hypoparathyroidism,146200,MONDO:0007796,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0000829; HP:0002514; HP:0001250; HP:0000518; HP:0002901; HP:0001281; HP:0000006; HP:0002905,2212001; 10523031; 1302009; 3005800,DD,,2015-07-22 16:15:24+00:00
G2P01385,ETHE1,608451,23287,HSCO; YF13H12,ETHE1-related ethylmalonic encephalopathy,602473,MONDO:0011229,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001251; HP:0001508; HP:0002376; HP:0000967; HP:0003219; HP:0007183; HP:0003688; HP:0001250; HP:0003128; HP:0001252; HP:0008046; HP:0001249; HP:0000007; HP:0002028; HP:0001263; HP:0002071; HP:0001626,14732903; 20528888; 18593870,DD,,2015-07-22 16:15:24+00:00
G2P01386,CTSK,601105,2536,CTSO; CTSO2; PKND; PYCD,CTSK-related pycnodysostosis,265800,MONDO:0009940,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003302; HP:0000670; HP:0000189; HP:0001156; HP:0000007; HP:0011001; HP:0000448; HP:0001807; HP:0002645; HP:0002650; HP:0004474; HP:0006335; HP:0000269; HP:0000765; HP:0004322; HP:0003304; HP:0000347; HP:0002007; HP:0002688; HP:0000696; HP:0000680; HP:0000668; HP:0002644; HP:0009839,10491211; 10878663; 8703060,DD; Skeletal,,2023-05-24 09:07:31+00:00
G2P01387,CCDC8,614145,25367,3M3; DKFZP564K0322; PPP1R20,CCDC8-related 3-M syndrome,614205,MONDO:0013627,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0004322; HP:0004570; HP:0000470; HP:0000268; HP:0001518; HP:0000007; HP:0000411; HP:0000325; HP:0000463; HP:0003307; HP:0010306; HP:0002007; HP:0000272; HP:0003100; HP:0001385; HP:0000307,21737058,DD; Skeletal,,2023-05-24 09:07:32+00:00
G2P01388,LIPN,613924,23452,BA186O14.3; LIPL4,"LIPN-related ichthyosis, lamellar",613943,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0000962; HP:0000007,21439540,DD,,2015-07-22 16:15:25+00:00
G2P01389,SLC24A1,603617,10975,CSNB1D; HST17412; KIAA0702; NCKX; NCKX1; RODX,"SLC24A1-related NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1D",613830,MONDO:0013450,biallelic_autosomal,,limited,absent gene product,,loss of function,inferred,,HP:0000007,20850105,DD,,2015-07-22 16:15:25+00:00
G2P01390,ATM,607585,795,ATA; ATC; ATD; ATDC; TEL1; TELO1,ATM-related ataxia-telangiectasia,208900,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0005357; HP:0002665; HP:0000134; HP:0000778; HP:0000007; HP:0000639; HP:0001595; HP:0000246; HP:0005407; HP:0001337; HP:0001266; HP:0002110; HP:0000819; HP:0001251; HP:0004322; HP:0001909; HP:0000833; HP:0002720; HP:0001250; HP:0000823; HP:0000486; HP:0003002; HP:0002894; HP:0006254; HP:0000957; HP:0001332; HP:0001260; HP:0002837; HP:0001888; HP:0001336; HP:0008348; HP:0008669; HP:0000524; HP:0001315,9443866; 22345219; 11889466; 9450874; 8808599; 9600235; 8968760; 7792600; 11826028; 9781027; 9887333; 9521587; 2491181; 8755918,DD; Skin; Cancer,,2017-09-01 16:19:15+00:00
G2P01391,TMEM70,612418,26050,FLJ20533,"TMEM70-related mitochondrial complex V (ATP synthase) deficiency, nuclear",614052,MONDO:0013546,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000047; HP:0003128; HP:0002151; HP:0001622; HP:0000007; HP:0001263; HP:0001562; HP:0001337; HP:0002093; HP:0000343; HP:0001298; HP:0001511; HP:0000431; HP:0001251; HP:0001508; HP:0003577; HP:0003535; HP:0001639; HP:0000369; HP:0001987; HP:0000518; HP:0000023; HP:0000028; HP:0005469; HP:0001518; HP:0000308; HP:0001537,18953340; 21147908,DD; Eye,,2017-08-31 13:34:49+00:00
G2P01392,MECP2,300005,6990,MRX16; MRX79; RTT,MECP2-related encephalopathy neonatal severe,300673,MONDO:0010397,monoallelic_X_hemizygous,,definitive,absent gene product,,loss of function,inferred,,HP:0000253; HP:0006887; HP:0001263; HP:0008872; HP:0002063; HP:0002093; HP:0010864; HP:0001419; HP:0001298; HP:0002104; HP:0001508; HP:0003577; HP:0008936; HP:0001250; HP:0007110; HP:0002126; HP:0002353; HP:0001347; HP:0001336; HP:0002020,11238684; 11402105; 10986043; 11007980; 11022934; 11309367; 11521215; 11706982; 11772708; 11836365; 11885030; 11896459; 11930274,DD,,2015-07-22 16:15:25+00:00
G2P01394,PGM1,171900,8905,,PGM1-related congenital disorder of glycosylation,614921,MONDO:0013968,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001649; HP:0003236; HP:0002094; HP:0003642; HP:0000175; HP:0000007; HP:0000347; HP:0005305; HP:0001976; HP:0000201; HP:0001644; HP:0002910,19625727,DD,,2015-07-22 16:15:25+00:00
G2P01395,NEK1,604588,7744,KIAA1901; NY-REN-55,NEK1-related short rib-polydactyly syndrome,263520,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0005766; HP:0000007; HP:0001827; HP:0100255; HP:0002589; HP:0001177; HP:0001789; HP:0001302; HP:0005817; HP:0000161; HP:0000113; HP:0000062; HP:0002089; HP:0001320; HP:0005716; HP:0002983; HP:0005873; HP:0001162; HP:0005349; HP:0000773,,DD; Eye; Skeletal,,2024-04-09 13:32:31+00:00
G2P01396,KCTD7,611725,21957,CLN14; EPM3; FLJ32069,KCTD7-related progressive myoclonic epilepsy,611726,MONDO:0016295,biallelic_autosomal,,definitive,absent gene product; altered gene product structure,splice_region_variant; inframe_insertion; frameshift_variant_NMD_triggering; inframe_deletion; stop_gained_NMD_triggering; missense_variant; frameshift_variant_NMD_escaping,loss of function,inferred,,HP:0001260; HP:0002123; HP:0000252; HP:0002059; HP:0000007; HP:0001249; HP:0003208; HP:0002078; HP:0003676; HP:0001272; HP:0000572; HP:0002079,17455289; 22693283; 22748208; 38231304; 30500434; 32412666; 35921411; 30295347,DD,,2024-06-04 10:08:30+00:00
G2P01397,FOXP1,605515,3823,12CC4; HFKH1B; HSPC215; QRF1,FOXP1-related intellectual developmental disorder with language impairment and autistic features,613670,MONDO:0013352,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000752; HP:0000733; HP:0000006; HP:0000718,20950788; 30092897; 29330474; 29090079; 28884888; 28735298; 25853299; 24214399; 22670142,DD,,2015-07-22 16:15:25+00:00
G2P01398,SMARCAL1,606622,11102,HARP; HHARP,SMARCAL1-related Schimke immunoosseous dysplasia,242900,MONDO:0009458,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002213; HP:0000007; HP:0000924; HP:0002634; HP:0002515; HP:0000926; HP:0000938; HP:0001538; HP:0004298; HP:0001034; HP:0001626; HP:0001574; HP:0001873; HP:0007759; HP:0000707; HP:0000152; HP:0003182; HP:0001871; HP:0000483; HP:0000119; HP:0000822; HP:0001270; HP:0000545; HP:0000818; HP:0002942; HP:0001511; HP:0001939; HP:0003521; HP:0025031; HP:0001875; HP:0005280; HP:0000478; HP:0002843; HP:0000093; HP:0000097; HP:0000083; HP:0010701; HP:0002715; HP:0001507; HP:0000100; HP:0040064; HP:0002655; HP:0002925; HP:0002719; HP:0001608; HP:0002326; HP:0002938; HP:0006453; HP:0000414; HP:0000470; HP:0001620; HP:0001888; HP:0000691; HP:0002208; HP:0001903; HP:0003090; HP:0003300,11799392; 15523612,DD; Skin; Skeletal,,2023-05-24 09:07:32+00:00
G2P01399,CHD7,608892,20626,CRG; FLJ20357; FLJ20361; KIAA1416,CHD7-related CHARGE syndrome,214800,MONDO:0008965,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002139; HP:0000508; HP:0000044; HP:0000050; HP:0011968; HP:0009778; HP:0000175; HP:0001249; HP:0000458; HP:0001539; HP:0000126; HP:0010515; HP:0000028; HP:0000085; HP:0000824; HP:0001537; HP:0002023; HP:0000321; HP:0000465; HP:0008551; HP:0002025; HP:0000821; HP:0003745; HP:0002032; HP:0000410; HP:0000568; HP:0010628; HP:0001636; HP:0000252; HP:0000204; HP:0000347; HP:0000272; HP:0000588; HP:0001888; HP:0004496; HP:0001629; HP:0001171; HP:0000324; HP:0000772; HP:0002015; HP:0000006; HP:0000528; HP:0000480; HP:0000359; HP:0000316; HP:0000394; HP:0002937; HP:0003974; HP:0002650; HP:0200021; HP:0003022; HP:0008213; HP:0000066; HP:0002901; HP:0000823; HP:0001643; HP:0000089; HP:0001642; HP:0004404; HP:0004058; HP:0002247; HP:0008897; HP:0001161; HP:0003812; HP:0000494; HP:0000054; HP:0000378; HP:0000589; HP:0001631; HP:0005368; HP:0000567; HP:0002575; HP:0000612; HP:0001719; HP:0000104; HP:0000860; HP:0001442; HP:0001018; HP:0000407; HP:0010443,18978652; 17334995; 16400610; 17661815; 15300250; 17937444; 18074359; 26590800; 16118347; 16155193; 16169932; 16615981; 16763960; 16960397; 18073582; 18445044; 18472328; 18484313; 18505430; 18834967; 19021638; 19159393; 19248844; 20052490; 20186815; 20624498; 20943277; 21041284; 21158681; 21196067; 21378379; 21554267; 21931733; 22302456; 22399515; 22517486; 23024289; 23333604; 23495722; 23677905; 23956205; 24550764; 24578717; 24636850,DD; Eye; Ear,,2025-04-09 08:52:06+00:00
G2P01400,SPECC1L,614140,29022,CYTSA; KIAA0376,"SPECC1L-related facial clefting, oblique",600251,,monoallelic_autosomal,,strong,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0000175; HP:0002006; HP:0000204; HP:0000007; HP:0000589; HP:0006191,21703590; 2541274,DD,,2016-01-03 20:50:32+00:00
